lv1_code,product_class_name,name,status,brand,attribute.saya_2_ways.boolean,attribute.saya_4_ways.boolean,attribute.cup_size.single_option,attribute.delivery_returns.text,attribute.description.html,attribute.fabric_care.html,attribute.online_description.html,attribute.online_name.string,attribute.page_description.text,attribute.keywords.string,attribute.page_url.string,attribute.size_fit.text,attribute.tax_class.string,attribute.short_description.html,attribute.country_of_origin.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,attribute.saya_tariff_code.string,variation_children_code
1467CCT01,3 Level Product Style,1467CCT01,active,Maaji,1,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.",<h4>COOKIECUTTER SHARK</h4>,"<p>Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/><br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>


",<p>Crop top<br/>Back lace-up tie clousure<br/>2 ways</p>,COOKIECUTTER SHARK,"Crop top
Back lace-up tie clousure
2 ways",,,Our model wears a Colombian size Small,,,Colombia,SPRING 2018,COLOMBIA,WOMENS SHIRT 100% VISCOSE WOVEN,BLUE,COVER UPS,<h4>COOKIECUTTER SHARK</h4>,WOMEN,active,2018,62.11.43.00.00,
1468CPA01,3 Level Product Style,1468CPA01,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.",<h4>ELEPHANT SEAL</h4>,"<p>Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/><br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>


",<p>Palazzo pants <br/>Side pockets<br/>Smocked waistband at back</p>,ELEPHANT SEAL,"Palazzo pants
Side pockets
Smocked waistband at back",,,Our model wears a Colombian size Small,,,Colombia,SPRING 2018,COLOMBIA,WOMENS PANTS 100% VISCOSE WOVEN,BLUE,COVER UPS,<h4>ELEPHANT SEAL</h4>,WOMEN,active,2018,62.04.69.00.00,
1470CRO01,3 Level Product Style,1470CRO01,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.",<h4>JUMP KANGAROO</h4>,"<p>Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/><br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>


",<p>Romper<br/>Stitch detail at neckline and hem<br/>Adjustable straps</p>,JUMP KANGAROO,"Romper
Stitch detail at neckline and hem
Adjustable straps",,,Our model wears a Colombian size Small,,,Colombia,SPRING 2018,COLOMBIA,WOMENS ROMPER 100% VISCOSE WOVEN,BLUE ,COVER UPS,<h4>JUMP KANGAROO</h4>,WOMEN,active,2018,62.11.43.00.00,
1438CSD02,3 Level Product Style,1438CSD02,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.",<h4>SUGAR SWIZZLE</h4>,"<p>Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/><br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>


",<p>Short dress<br/>Smocked waistband<br/>Stitch detail at strings<br/>Lantern 3/4 sleeve</p>,SUGAR SWIZZLE,"Short dress
Smocked waistband
Stitch detail at strings
Lantern 3/4 sleeve",,,Our model wears a Colombian size Small,,,Colombia,SPRING 2018,COLOMBIA,WOMENS DRESS 100% RAYON WOVEN,BLUE,COVER UPS,<h4>SUGAR SWIZZLE</h4>,WOMEN,active,2018,62.04.44.00.00,
1464CPA01,3 Level Product Style,1464CPA01,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.",<h4>BABY FINLEY</h4>,"<p>Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/><br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>


",<p>Wrap pants<br/>Stitch detail at sides</p>,BABY FINLEY,"Wrap pants
Stitch detail at sides",,,Our model wears a Colombian size Small,,,Colombia,SPRING 2018,COLOMBIA,WOMENS PANTS 100% VISCOSE WOVEN,RED,COVER UPS,<h4>BABY FINLEY</h4>,WOMEN,active,2018,62.04.59.00.00,
1471CSD01,3 Level Product Style,1471CSD01,active,Maaji,1,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.",<h4>FUNKY TWIST</h4>,"<p>Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/><br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>


",<p>Off shoulder short dress<br/>Ruffle<br/>Stitch detail at ruffle hem<br/>2 ways</p>,FUNKY TWIST,"Off shoulder short dress
Ruffle
Stitch detail at ruffle hem
2 ways",,,Our model wears a Colombian size Small,,,Colombia,SPRING 2018,COLOMBIA,WOMENS DRESS 100% RAYON WOVEN,BLUE,COVER UPS,<h4>FUNKY TWIST</h4>,WOMEN,active,2018,62.04.44.00.00,
1472CSD01,3 Level Product Style,1472CSD01,active,Maaji,1,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.",<h4>BISCUIT LION</h4>,"<p>Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/><br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>


",<p>hort dress<br/>Sleeveless<br/>Adjustable straps<br/>Stitch detail<br/>2 ways</p>,BISCUIT LION,"hort dress
Sleeveless
Adjustable straps
Stitch detail
2 ways",,,Our model wears a Colombian size Small,,,Colombia,SPRING 2018,COLOMBIA,WOMENS DRESS 100% VISCOSE WOVEN,BLUE,COVER UPS,<h4>BISCUIT LION</h4>,WOMEN,active,2018,62.04.44.00.00,
1438CSD03,3 Level Product Style,1438CSD03,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.",<h4>SUGAR SWIZZLE</h4>,"<p>Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/><br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>


",<p>Short dress<br/>Smocked waistband <br/>Stitch detail at strings <br/>Lantern 3/4 sleeve</p>,SUGAR SWIZZLE,"Short dress
Smocked waistband
Stitch detail at strings
Lantern 3/4 sleeve",,,Our model wears a Colombian size Small,,,Colombia,SPRING 2018,COLOMBIA,WOMENS DRESS 100% RAYON WOVEN,RED,COVER UPS,<h4>SUGAR SWIZZLE</h4>,WOMEN,active,2018,62.04.44.00.00,
1469CKS01,3 Level Product Style,1469CKS01,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.",<h4>CUTIE ARMADILLO</h4>,"<p>Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/><br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>


",<p>Short skirt<br/>Smocked waistband<br/>Side pockets</p>,CUTIE ARMADILLO,"Short skirt
Smocked waistband
Side pockets",,,Our model wears a Colombian size Small,,,Colombia,SPRING 2018,COLOMBIA,WOMENS SKIRT 100% VISCOSE WOVEN,BLUE,COVER UPS,<h4>CUTIE ARMADILLO</h4>,WOMEN,active,2018,62.04.59.00.00,
2123SRA01,3 Level Product Style,2123SRA01,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.",<h4>PAEZ PORT</h4>,"<p>Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/><br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>


",#N/A,PAEZ PORT,#N/A,,,Our model wears a Colombian size Small,,,Colombia,SPRING 2018,COLOMBIA,WOMENS RASHGUARD 92% NYLON 8% SPANDEX KNIT,BLUE,COVER UPS,<h4>PAEZ PORT</h4>,WOMEN,active,2018,61.10.30.90.00,
1461CSD01,3 Level Product Style,1461CSD01,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.",<h4>BABY GUPPIES</h4>,"<p>Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/><br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>


",<p>Short dress<br/>Sleeveless<br/>Elastic below the cups  and back <br/>Adjustable straps</p>,BABY GUPPIES,"Short dress
Sleeveless
Elastic below the cups  and back
Adjustable straps",,,Our model wears a Colombian size Small,,,Colombia,SPRING 2018,COLOMBIA,WOMENS DRESS 100% VISCOSE WOVEN,RED,COVER UPS,<h4>BABY GUPPIES</h4>,WOMEN,active,2018,62.04.44.00.00,
1378CPA01,3 Level Product Style,1378CPA01,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.",<h4>SEA RAINBOW</h4>,"<p>Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/><br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>


",<p>Pants <br/>Jogger pants<br/>With pockets</p>,SEA RAINBOW,"Pants
Jogger pants
With pockets",,,Our model wears a Colombian size Small,,,Colombia,SPRING 2018,COLOMBIA,WOMENS PANTS 88% VISCOSE 12% NYLON WOVEN,RED,COVER UPS,<h4>SEA RAINBOW</h4>,WOMEN,active,2018,62.04.69.00.00,
1426CSH01,3 Level Product Style,1426CSH01,active,Maaji,0,0,,"Delivery
FREE POSTAGE within COLOMBIA for orders over COP$250.000. Orders under 
COP$250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 
working days. Regional areas outside of metro areas, typically add
an additional day to delivery estimates. 

Returns
Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed
or otherwise used products will not be accepted. All products must also have the 
original tags and hygienic protection sticker intact. Original shipping charges will not 
be refunded unless the return items are deemed defective. Our Returns Policy is in 
addition to your rights under the Colombian Consumer Law.",<h4>BUBBLE GALAXY</h4>,"<p>Do not Machine wash at temperatures<br/>Do not use dryer<br/>Do not wring<br/>Line dry<br/><br/>Steam and turn inside out<br/>Do not bleach<br/>Do not use hot water<br/>Do not use vinegar</p>


",<p>Elastic waistband<br/>Pokets at sides</p>,BUBBLE GALAXY,"Elastic waistband
Pokets at sides",,,Our model wears a Colombian size Small,,,Colombia,SPRING 2018,COLOMBIA,WOMENS SHORT 98% NYLON 2% SPANDEX KNIT,RED,COVER UPS,<h4>BUBBLE GALAXY</h4>,WOMEN,active,2018,61.04.63.00.00,
